教育招生考试院上面给的招生信息/选考信息网址,,三种编号也不知道是啥,,,所在地区,,,办学层次,,找不到名称的话这边有2020年和2024年招生用的学校名,
泰山科技学院,http://zs.tskjxy.com.cn/,4137013624,13624,,山东省教育厅,山东,泰安市,本科,民办,,
淄博师范高等专科学校,zs.zbnc.edu.cn,4137013777,13777,,山东省,山东,淄博市,专科,,,
山东中医药高等专科学校,https://zs.stcmchina.com/,4137013778,13778,,山东省,山东,烟台市,专科,,,
济南工程职业技术学院,https://www.jngcxy.edu.cn/,4137013855,13855,,山东省,山东,济南市,专科,,,
山东电子职业技术学院,http://www.sdcet.cn/zsxxw/,4137013856,13856,,山东省,山东,济南市,专科,,,
山东华宇工学院,http://zhaosheng.huayu.edu.cn/,4137013857,13857,D857,山东省教育厅,山东,德州市,本科,民办,山东华宇工学院,山东华宇工学院
山东旅游职业学院,http://www.sdts.net.cn/zsxx/,4137013858,13858,,山东省,山东,济南市,专科,,,
山东铝业职业学院,https://www.shlzhj.net/,4137013859,13859,,山东省,山东,淄博市,专科,,,
泰山职业技术学院,http://www.mtotc.com.cn/,4137013861,13861,D861,山东省,山东,泰安市,专科,,泰山职业技术学院,泰山职业技术学院
山东外事职业大学,http://www.sdws.edu.cn/,4137013874,13874,D874,山东省教育厅,山东,威海市,本科,民办,山东外事职业大学,山东外事职业大学
山东药品食品职业学院,,4137013966,13966,,山东省,山东,威海市,专科,,,
青岛工学院,www.qit.edu.cn,4137013995,13995,D995,山东省教育厅,山东,青岛市,本科,民办,青岛工学院,青岛工学院
青岛农业大学海都学院,http://www.hdxy.edu.cn/zs/,4137013997,13997,D997,山东省教育厅,山东,烟台市,本科,民办,青岛农业大学海都学院,青岛农业大学海都学院
齐鲁理工学院,http://www.qlit.edu.cn/zsw/,4137013998,13998,D998,山东省教育厅,山东,济南市,本科,民办,齐鲁理工学院,齐鲁理工学院
山东财经大学东方学院,http://zs.sdor.cn,4137013999,13999,D999,山东省教育厅,山东,泰安市,本科,民办,山东财经大学东方学院,山东财经大学东方学院
潍坊理工学院,http://www.wfit.edu.cn/,4137013379,14000,E000,山东省教育厅,山东,潍坊市,本科,民办,潍坊理工学院,潍坊理工学院
聊城大学东昌学院,http://zsb.lcudcc.edu.cn,4137013373,14001,E001,山东省教育厅,山东,聊城市,本科,民办,聊城大学东昌学院,聊城大学东昌学院
烟台科技学院,http://zs.jdqy.edu.cn/,4137014002,14002,,山东省教育厅,山东,烟台市,本科,民办,,
山东商务职业学院,http://zs.sdbi.edu.cn/zszc.htm,4137014078,14078,,山东省,山东,烟台市,专科,,,
山东轻工职业学院,http://www.sdlivc.com,4137014079,14079,,山东省,山东,淄博市,专科,,,
山东城市建设职业学院,,4137014080,14080,,山东省,山东,济南市,专科,,,
烟台汽车工程职业学院,http://ytqcvc.cn,4137014081,14081,,山东省,山东,烟台市,专科,,,
山东司法警官职业学院,http://www.sdsfjy.com/,4137014082,14082,,山东省,山东,济南市,专科,,,
山东政法学院,https://zs.sdupsl.edu.cn/,4137014100,14100,E100,山东省,山东,济南市,本科,,山东政法学院,山东政法学院
菏泽家政职业学院,http://www.hzjzzyxy.com/,4137014118,14118,,山东省,山东,菏泽市,专科,,,
山东传媒职业学院,http://zs.sdcmc.net/,4137014193,14193,,山东省,山东,济南市,专科,,,
临沂职业学院,http://www.lyvc.edu.cn/index.htm,4137014195,14195,,山东省,山东,临沂市,专科,,,
枣庄职业学院,http://zsc.sdzzvc.edu.cn/,4137014196,14196,,山东省,山东,枣庄市,专科,,,
山东理工职业学院,http://zsjy.sdpu.edu.cn/zszc.htm,4137014242,14242,,山东省,山东,济宁市,专科,,,
山东文化产业职业学院,https://gaokao.chsi.com.cn/htgl/zszc/sch/listNeedVerifyZszc.do?method=list&isIndex=true&categoryId=4,4137014261,14261,,山东省教育厅,山东,青岛市,专科,民办,,
齐鲁师范学院,http://www.qlnu.edu.cn/,4137014276,14276,E276,山东省,山东,济南市,本科,,齐鲁师范学院,齐鲁师范学院
山东青年政治学院,http://zsb.sdyu.edu.cn/index.htm,4137014277,14277,E277,山东省,山东,济南市,本科,,山东青年政治学院,山东青年政治学院
青岛远洋船员职业学院,www.qmc.edu.cn/zhaosheng,4137014320,14320,,山东省,山东,青岛市,专科,,,
青岛电影学院,www.bfamcmc.edu.cn,4137014327,14327,,山东省教育厅,山东,青岛市,本科,民办,,
济南幼儿师范高等专科学校,http://www.jnpec.edu.cn,4137014332,14332,,山东省,山东,济南市,专科,,,
济南护理职业学院,http://www.sdjnwx.com/,4137014343,14343,,山东省,山东,济南市,专科,,,
泰山护理职业学院,www.tshlzyxy.com,4137014345,14345,,山东省,山东,泰安市,专科,,,
山东海事职业学院,http://zsb.sdm.net.cn/,4137014346,14346,,山东省教育厅,山东,潍坊市,专科,民办,,
潍坊护理职业学院,www.wfhlxy.com,4137014347,14347,,山东省,山东,潍坊市,专科,,,
潍坊工程职业学院,zs.wfec.cn,4137014379,14379,E379,山东省,山东,潍坊市,专科,,潍坊工程职业学院,潍坊工程职业学院
山东管理学院,http://zs.sdmu.edu.cn/zszc1.htm,4137014438,14438,E438,山东省,山东,济南市,本科,,山东管理学院,山东管理学院
山东农业工程学院,http://www.sdaeu.edu.cn/zsxxw/,4137014439,14439,E439,山东省,山东,济南市,本科,,山东农业工程学院,山东农业工程学院
菏泽职业学院,http://www.hezevc.edu.cn/,4137014477,14477,,山东省,山东,菏泽市,专科,,,
山东艺术设计职业学院,http://www.sysy.com.cn/zszc/,4137014506,14506,,山东省教育厅,山东,济南市,专科,民办,,
威海海洋职业学院,https://www.whovc.edu.cn/Oceanvocationalcollege/,4137014507,14507,,山东省,山东,威海市,专科,,,
山东特殊教育职业学院,https://gaokao.chsi.com.cn/htgl/https://gaokao.chsi.com.cn/htgl/,4137014545,14545,,山东省,山东,济南市,专科,,,
烟台黄金职业学院,http://www.ytgc.edu.cn/,4137014570,14570,,山东省教育厅,山东,烟台市,专科,民办,,
日照航海工程职业学院,http://www.rzmevc.com/zsw/,4137014605,14605,,山东省教育厅,山东,日照市,专科,民办,,
青岛工程职业学院,https://www.qdec.edu.cn/,4137014666,14666,,山东省,山东,青岛市,专科,,,
青岛幼儿师范高等专科学校,www.qdpecedu.cn,4137014688,14688,,山东省,山东,青岛市,专科,,,
烟台幼儿师范高等专科学校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc.do,4137014689,14689,,山东省,山东,烟台市,专科,,,
烟台文化旅游职业学院,http://www.yvcct.edu.cn,4137014707,14707,,山东省,山东,烟台市,专科,,,
临沂科技职业学院,https://www.lyvust.cn,4137014708,14708,,山东省,山东,临沂市,专科,,,
青岛航空科技职业学院,www.qdhkxy.com,4137014709,14709,,山东省教育厅,山东,青岛市,专科,民办,,
潍坊环境工程职业学院,http://www.wfhgzxy.com,4137014710,14710,,山东省教育厅,山东,潍坊市,专科,民办,,
滨州科技职业学院,sdbky.cn,4137014749,14749,,山东省教育厅,山东,滨州市,专科,民办,,
北京交通大学(威海校区),http://zsw.bjtu.edu.cn/,,19004,H004,,山东,,,,北京交通大学(威海校区),北京交通大学(威海校区)
哈尔滨工业大学(威海),https://zsb.hit.edu.cn/article/read/840971ea7bf333e75847095c6df6a7f5,,19213,H213,,山东,,,,哈尔滨工业大学(威海),哈尔滨工业大学(威海)
山东大学威海分校,https://bkzsw.wh.sdu.edu.cn/zcgd.htm,,19422,H422,,山东,,,,山东大学威海分校,山东大学威海分校
海军潜艇学院,无,,91018,P018,,山东,,,,海军潜艇学院,
海军航空大学,无,,91019,P019,,山东,,,,海军航空大学,
华北水利水电大学,http://www5.ncwu.edu.cn/zhaoshengwang/,4141010078,10078,A078,河南省,河南,郑州市,本科,,华北水利水电大学,华北水利水电大学
郑州大学,ao.zzu.edu.cn,4141010459,10459,A459,河南省,河南,郑州市,本科,,郑州大学,郑州大学
河南理工大学,http://www6.hpu.edu.cn/web5/zsxxw.htm,4141010460,10460,A460,河南省,河南,焦作市,本科,,河南理工大学,河南理工大学
郑州轻工业大学,http://zhaosheng.zzuli.edu.cn/,4141010462,10462,A462,河南省,河南,郑州市,本科,,郑州轻工业大学,郑州轻工业大学
河南工业大学,https://zs.haut.edu.cn/zszc.htm,4141010463,10463,A463,河南省,河南,郑州市,本科,,河南工业大学,河南工业大学
河南科技大学,https://www.haust.edu.cn,4141010464,10464,A464,河南省,河南,洛阳市,本科,,河南科技大学,河南科技大学
中原工学院,https://zsc.zut.edu.cn/bkzn/ptbkzsjz.htm,4141010465,10465,A465,河南省,河南,郑州市,本科,,中原工学院,中原工学院
河南农业大学,http://zs.henau.edu.cn,4141010466,10466,A466,河南省,河南,郑州市,本科,,河南农业大学,河南农业大学
河南科技学院,https://zsxx.hist.edu.cn/,4141010467,10467,A467,河南省,河南,新乡市,本科,,河南科技学院,河南科技学院
河南牧业经济学院,https://zhaosheng.hnuahe.edu.cn/,4141010469,10469,A469,河南省,河南,郑州市,本科,,河南牧业经济学院,
河南中医药大学,https://ptzs.hactcm.edu.cn/,4141010471,10471,A471,河南省,河南,郑州市,本科,,河南中医药大学,河南中医药大学
新乡医学院,http://zjc.xxmu.edu.cn/zsxxw/zsxx/zszc.htm,4141010472,10472,A472,河南省,河南,新乡市,本科,,新乡医学院,新乡医学院
河南大学,http://zs.henu.edu.cn,4141010475,10475,A475,河南省,河南,开封市,本科,,河南大学,河南大学
河南师范大学,https://www.htu.edu.cn/zs,4141010476,10476,A476,河南省,河南,新乡市,本科,,河南师范大学,河南师范大学
信阳师范学院,http://zs.xynu.edu.cn/,4141010477,10477,A477,河南省,河南,信阳市,本科,,信阳师范大学,信阳师范学院
周口师范学院,https://zs.zknu.edu.cn/,4141010478,10478,A478,河南省,河南,周口市,本科,,周口师范学院,周口师范学院
安阳师范学院,http://www.aynu.edu.cn,4141010479,10479,A479,河南省,河南,安阳市,本科,,安阳师范学院,安阳师范学院
许昌学院,https://zs.xcu.edu.cn,4141010480,10480,A480,河南省,河南,许昌市,本科,,许昌学院,许昌学院
南阳师范学院,http://www2.nynu.edu.cn/xzbm/zhaosheng/,4141010481,10481,A481,河南省,河南,南阳市,本科,,南阳师范学院,南阳师范学院
洛阳师范学院,https://sites.lynu.edu.cn/zsxx,4141010482,10482,A482,河南省,河南,洛阳市,本科,,洛阳师范学院,洛阳师范学院
商丘师范学院,https://zhaoban.sqnu.edu.cn/,4141010483,10483,A483,河南省,河南,商丘市,本科,,商丘师范学院,商丘师范学院
河南财经政法大学,http://zs.huel.edu.cn,4141010484,10484,A484,河南省,河南,郑州市,本科,,河南财经政法大学,河南财经政法大学
郑州航空工业管理学院,http://zsxxw.zua.edu.cn,4141010485,10485,A485,河南省,河南,郑州市,本科,,郑州航空工业管理学院,郑州航空工业管理学院
漯河职业技术学院,https://gaokao.chsi.com.cn/,4141010835,10835,,河南省,河南,漯河市,专科,,,
三门峡职业技术学院,www.smxpt.cn,4141010842,10842,,河南省,河南,三门峡市,专科,,,
郑州铁路职业技术学院,https://www.zzrvtc.edu.cn/zsjyc/,4141010843,10843,,河南省,河南,郑州市,专科,,,
黄淮学院,http://zhaosheng.huanghuai.edu.cn/,4141010918,10918,A918,河南省,河南,驻马店市,本科,,黄淮学院,黄淮学院
平顶山学院,http://zsxx.pdsu.edu.cn/zszc.htm,4141010919,10919,A919,河南省,河南,平顶山市,本科,,平顶山学院,平顶山学院
郑州工程技术学院,https://zs.zzut.edu.cn/,4141011068,11068,B068,河南省,河南,郑州市,本科,,郑州工程技术学院,郑州工程技术学院
开封大学,www.kfu.edu.cn,4141011069,11069,,河南省,河南,开封市,专科,,,
洛阳理工学院,http://zs.lit.edu.cn,4141011070,11070,B070,河南省,河南,洛阳市,本科,,洛阳理工学院,洛阳理工学院
新乡学院,https://zs.xxu.edu.cn/,4141011071,11071,B071,河南省,河南,新乡市,本科,,新乡学院,新乡学院
信阳农林学院,https://www.xyafu.edu.cn/zsxxw/,4141011326,11326,B326,河南省,河南,信阳市,本科,,信阳农林学院,信阳农林学院
河南工学院,https://zs.hait.edu.cn/,4141011329,11329,B329,河南省,河南,新乡市,本科,,河南工学院,河南工学院
安阳工学院,http://zs.ayit.edu.cn/,4141011330,11330,B330,河南省,河南,安阳市,本科,,安阳工学院,安阳工学院
河南工程学院,http://hauezs.university-hr.com/,4141011517,11517,B517,河南省,河南,郑州市,本科,,河南工程学院,河南工程学院
焦作大学,https://zs.jzu.edu.cn/,4141011522,11522,,河南省,河南,焦作市,专科,,,
河南财政金融学院,http://zsjy.haie.edu.cn/zszc/zsjz.htm,4141011652,11652,B652,河南省,河南,郑州市,本科,,河南财政金融学院,河南财政金融学院
南阳理工学院,http://zsw.nyist.edu.cn/,4141011653,11653,B653,河南省,河南,南阳市,本科,,南阳理工学院,南阳理工学院
河南城建学院,http://zs.hncj.edu.cn,4141011765,11765,B765,河南省,河南,平顶山市,本科,,河南城建学院,河南城建学院
濮阳职业技术学院,http://zs.pyvtc.cn/index.htm,4141011787,11787,,河南省,河南,濮阳市,专科,,,
郑州电力高等专科学校,https://zs.zepc.cloudzhaokao.com/home,4141011828,11828,,河南省,河南,郑州市,专科,,,
黄河科技学院,http://www.hhstu.edu.cn,4141011834,11834,B834,河南省教育厅,河南,郑州市,本科,民办,黄河科技学院,黄河科技学院
焦作师范高等专科学校,http://zs.jzsz.edu.cn/,4141012950,11967,,河南省,河南,焦作市,专科,,,
郑州师范学院,http://zsb.zznu.edu.cn,4141012949,11969,B969,河南省,河南,郑州市,本科,,郑州师范学院,郑州师范学院
黄河水利职业技术学院,http://zhaosheng.yrcti.edu.cn/,4141012058,12058,,河南省,河南,开封市,专科,,,
河南工业和信息化职业学院,http://www.hciit.edu.cn/zsxx/,4141012581,12581,,河南省,河南,焦作市,专科,,,
铁道警察学院,http://www.rpc.edu.cn/zsjy/index.htm,4141012735,12735,,公安部,河南,郑州市,本科,,,
商丘职业技术学院,https://www.sqzy.edu.cn/,4141012745,12745,,河南省,河南,商丘市,专科,,,
郑州科技学院,http://www.zit.edu.cn,4141012746,12746,C746,河南省教育厅,河南,郑州市,本科,民办,郑州科技学院,郑州科技学院
郑州工业应用技术学院,http://zszcba.haedu.gov.cn/result/detail/5010,4141012747,12747,C747,河南省教育厅,河南,郑州市,本科,民办,郑州工业应用技术学院,郑州工业应用技术学院
平顶山工业职业技术学院,http://www.pzxy.edu.cn,4141012748,12748,,河南省,河南,平顶山市,专科,,,
周口职业技术学院,http://zkvtczs.university-hr.com/,4141012750,12750,,河南省,河南,周口市,专科,,,
济源职业技术学院,https://www.jyvtc.edu.cn/zs/index.html,4141012768,12768,,河南省,河南,济源市,专科,,,
河南司法警官职业学院,www.hnsfjy.net,4141012781,12781,,河南省,河南,郑州市,专科,,,
鹤壁职业技术学院,https://zs.hbzy.edu.cn/pzzc/pzzc.htm,4141012793,12793,,河南省,河南,鹤壁市,专科,,,
河南工业职业技术学院,http://www.hnpi.cn/zsxx,4141012794,12794,,河南省,河南,南阳市,专科,,,
郑州澍青医学高等专科学校,www.shuqing.org,4141012948,12948,,河南省教育厅,河南,郑州市,专科,民办,,
郑州财经学院,http://222.21.112.41/s.php/zsw/item-list-category-29737.html,4141013497,13497,D497,河南省教育厅,河南,郑州市,本科,民办,郑州财经学院,郑州财经学院
商丘工学院,http://www.sqgxy.edu.cn,4141013500,13500,D500,河南省教育厅,河南,商丘市,本科,民办,商丘工学院,商丘工学院
安阳学院,https://gaokao.chsi.com.cn/,4141013504,13504,,河南省教育厅,河南,安阳市,本科,民办,,
新乡医学院三全学院,http://zs.sqmc.edu.cn/,4141013505,13505,D505,河南省教育厅,河南,新乡市,本科,民办,新乡医学院三全学院,新乡医学院三全学院
新乡工程学院,http://xinke.hist.edu.cn,4141013506,13506,,河南省教育厅,河南,新乡市,本科,民办,,
郑州工商学院,www.ztbu.edu.cn,4141013507,13507,D507,河南省教育厅,河南,郑州市,本科,民办,郑州工商学院,郑州工商学院
漯河医学高等专科学校,https://www.lhmc.edu.cn/zs/,4141013780,13780,,河南省,河南,漯河市,专科,,,
南阳医学高等专科学校,http://zhaosheng.nymc.edu.cn/,4141013781,13781,,河南省,河南,南阳市,专科,,,
商丘医学高等专科学校,http://www.sqyx.edu.cn/zs/,4141013782,13782,,河南省,河南,商丘市,专科,,,
信阳职业技术学院,http://xyzb.xyvtc.edu.cn,4141013784,13784,,河南省,河南,信阳市,专科,,,
嵩山少林武术职业学院,http://zszcba.haedu.gov.cn/,4141013785,13785,,河南省教育厅,河南,郑州市,专科,民办,,
永城职业学院,www.ycvc.edu.cn,4141013787,13787,,河南省,河南,商丘市,专科,,,
河南经贸职业学院,http://zs.hnjmxy.cn/,4141013788,13788,,河南省,河南,郑州市,专科,,,
郑州旅游职业学院,www.zztrc.edu.cn,4141013791,13791,,河南省,河南,郑州市,专科,,,
郑州职业技术学院,http://www.zzy.edu.cn/zsxxw/main.htm,4141013792,13792,,河南省,河南,郑州市,专科,,,
河南工业贸易职业学院,http://www.hngm.edu.cn/,4141013936,13936,,河南省,河南,郑州市,专科,,,
商丘学院,https://www.sqxy.edu.cn/squ_zsb/,4141014003,14003,,河南省教育厅,河南,商丘市,本科,民办,,
郑州电力职业技术学院,http://www.zzdl.com,4141014062,14062,,河南省教育厅,河南,郑州市,专科,民办,,
漯河食品职业学院,http://www.lsgx.com.cn,4141014233,14233,,河南省教育厅,河南,漯河市,专科,民办,,
安阳职业技术学院,http://zsxx.ayzy.edu.cn/,4141014243,14243,,河南省,河南,安阳市,专科,,,
新乡职业技术学院,http://www.xxvtc.edu.cn/,4141014245,14245,,河南省,河南,新乡市,专科,,,
驻马店职业技术学院,https://zsxxw.zmdvtc.net.cn/,4141014251,14251,,河南省,河南,驻马店市,专科,,,
焦作工贸职业学院,http://zszcba.haedu.gov.cn/,4141014300,14300,,河南省教育厅,河南,焦作市,专科,民办,,
长垣烹饪职业技术学院,http://www.cyprxy.edu.cn/,4141014305,14305,,河南省教育厅,河南,新乡市,专科,民办,,
开封文化艺术职业学院,www.kfwyxy.edu.cn,4141014306,14306,,河南省,河南,开封市,专科,,,
河南艺术职业学院,www.hnyszyxy.net,4141014308,14308,,河南省,河南,郑州市,专科,,,
郑州升达经贸管理学院,www.shengda.edu.cn,4141014333,14333,E333,河南省教育厅,河南,郑州市,本科,民办,郑州升达经贸管理学院,郑州升达经贸管理学院
河南护理职业学院,http://www.hnnvc.edu.cn/,4141014349,14349,,河南省,河南,安阳市,专科,,,
信阳涉外职业技术学院,http://zszcba.haedu.gov.cn/?jump_url=constitution%2Flist,4141014351,14351,,河南省教育厅,河南,信阳市,专科,民办,,
鹤壁汽车工程职业学院,http://zszcba.haedu.gov.cn/constitution/list,4141014352,14352,,河南省教育厅,河南,鹤壁市,专科,民办,,
南阳职业学院,http://www.nyvc.edu.cn,4141014353,14353,,河南省教育厅,河南,南阳市,专科,民办,,
郑州商贸旅游职业学院,http://zszcba.haedu.gov.cn,4141014380,14380,,河南省教育厅,河南,郑州市,专科,民办,,
河南推拿职业学院,https://www.hltn.edu.cn/,4141014382,14382,,河南省,河南,洛阳市,专科,,,
洛阳职业技术学院,http://zjc.lypt.edu.cn/,4141014383,14383,,河南省,河南,洛阳市,专科,,,
郑州幼儿师范高等专科学校,www.zyedu.org,4141014391,14391,,河南省,河南,郑州市,专科,,,
安阳幼儿师范高等专科学校,www.ayyz.edu.cn,4141014392,14392,,河南省,河南,安阳市,专科,,,
河南医学高等专科学校,https://www.hamc.edu.cn/,4141014466,14466,E466,河南省,河南,郑州市,专科,,河南医学高等专科学校,
郑州财税金融职业学院,http://www.zzcsjr.edu.cn/,4141014478,14478,,河南省,河南,郑州市,专科,,,
南阳农业职业学院,http://www.nyca.edu.cn/zsw/,4141014479,14479,,河南省,河南,南阳市,专科,,,
洛阳科技职业学院,http//lku.edu.cn/,4141014480,14480,,河南省教育厅,河南,洛阳市,专科,民办,,
鹤壁能源化工职业学院,www.hbnh.edu.cn,4141014529,14529,,河南省教育厅,河南,鹤壁市,专科,民办,,
濮阳医学高等专科学校,http://www.pyyzh.cn/s.php/zhaosheng/item-list-category-12857.html,4141014597,14597,,河南省,河南,濮阳市,专科,,,
三门峡社会管理职业学院,http://www.smxcsa.com,4141014606,14606,,河南省,河南,三门峡市,专科,,,
河南测绘职业学院,http://zszcba.haedu.gov.cn/,4141014608,14608,,河南省,河南,郑州市,专科,,,
信阳航空职业学院,www.xyhkxy.com,4141014634,14634,,河南省教育厅,河南,信阳市,专科,民办,,
郑州卫生健康职业学院,http://www.zzhvc.com/,4141014635,14635,,河南省,河南,郑州市,专科,,,
郑州西亚斯学院,http://ao.sias.edu.cn/,4141014654,14654,E654,河南省教育厅,河南,郑州市,本科,民办,郑州西亚斯学院,郑州西亚斯学院
濮阳石油化工职业技术学院,http://www.pypcc.cn,4141014713,14713,,河南省,河南,濮阳市,专科,,,
南阳科技职业学院,http://zszcba.haedu.gov.cn/,4141014714,14714,,河南省,河南,南阳市,专科,,,
兰考三农职业学院,www.lksnzyxy.cn,4141014715,14715,,河南省,河南,开封市,专科,,,
汝州职业技术学院,http://zszcba.haedu.gov.cn/constitution/detail/6936,4141014716,14716,,河南省,河南,平顶山市,专科,,,
林州建筑职业技术学院,http://zszcba.haedu.gov.cn/constitution/detail/6895,4141014717,14717,,河南省教育厅,河南,安阳市,专科,民办,,
郑州轨道工程职业学院,www.zrevc.com,4141014719,14719,,河南省教育厅,河南,郑州市,专科,民办,,
洛阳文化旅游职业学院,www.LYVCCT.ha.cn,4141014750,14750,,河南省,河南,洛阳市,专科,,,
周口文理职业学院,http://zkwl.edu.cn,4141014751,14751,,河南省,河南,周口市,专科,,,
信阳艺术职业学院,http://www.xyyzy.edu.cn,4141014752,14752,,河南省,河南,信阳市,专科,,,
郑州医药健康职业学院,http://www.zzyyedu.com,4141014754,14754,,河南省教育厅,河南,郑州市,专科,民办,,
战略支援部队信息工程大学,无,,91037,P037,,河南,,,,战略支援部队信息工程大学,
武汉大学,https://aoff.whu.edu.cn/,4142010486,10486,A486,教育部,湖北,武汉市,本科,,武汉大学,武汉大学
华中科技大学,https://zsb.hust.edu.cn/,4142010487,10487,A487,教育部,湖北,武汉市,本科,,华中科技大学,华中科技大学
武汉科技大学,http://zs.wust.edu.cn/bk/,4142010488,10488,A488,湖北省,湖北,武汉市,本科,,武汉科技大学,武汉科技大学
长江大学,http://zszc.yangtzeu.edu.cn/,4142010489,10489,A489,湖北省,湖北,荆州市,本科,,长江大学,长江大学
武汉工程大学,http://zsb.wit.edu.cn/,4142010490,10490,A490,湖北省,湖北,武汉市,本科,,武汉工程大学,武汉工程大学
中国地质大学(武汉),https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-388.dhtml,4142010491,10491,A491,教育部,湖北,武汉市,本科,,中国地质大学(武汉),中国地质大学(武汉)
武汉纺织大学,http://zjc.wtu.edu.cn/,4142010495,10495,A495,湖北省,湖北,武汉市,本科,,武汉纺织大学,武汉纺织大学
武汉轻工大学,https://zsb.whpu.edu.cn/,4142010496,10496,A496,湖北省,湖北,武汉市,本科,,武汉轻工大学,武汉轻工大学
武汉理工大学,https://zs.whut.edu.cn/,4142010497,10497,A497,教育部,湖北,武汉市,本科,,武汉理工大学,武汉理工大学
湖北工业大学,http://zs.hbut.edu.cn/,4142010500,10500,A500,湖北省,湖北,武汉市,本科,,湖北工业大学,湖北工业大学
华中农业大学,http://zs.hzau.edu.cn/,4142010504,10504,A504,教育部,湖北,武汉市,本科,,华中农业大学,华中农业大学
湖北中医药大学,https://zs.hbtcm.edu.cn/,4142010507,10507,A507,湖北省,湖北,武汉市,本科,,湖北中医药大学,湖北中医药大学
华中师范大学,http://zs.ccnu.edu.cn/,4142010511,10511,A511,教育部,湖北,武汉市,本科,,华中师范大学,华中师范大学
湖北大学,http://zsxx.hubu.edu.cn/,4142010512,10512,A512,湖北省,湖北,武汉市,本科,,湖北大学,湖北大学
湖北师范大学,https://zhinengdayi.com/hbnu,4142010513,10513,A513,湖北省,湖北,黄石市,本科,,湖北师范大学,湖北师范大学
黄冈师范学院,http://zhaojiu.hgnu.edu.cn/zs/,4142010514,10514,A514,湖北省,湖北,黄冈市,本科,,黄冈师范学院,黄冈师范学院
湖北民族大学,www.hbmzu.edu.cn,4142010517,10517,A517,湖北省,湖北,恩施土家族苗族自治州,本科,,湖北民族大学,湖北民族大学
汉江师范学院,https://gaokao.chsi.com.cn/htgl/zszc/sch/listNeedVerifyZszc.do?method=view&infoId=3125629865&schId=4,4142010518,10518,A518,湖北省,湖北,十堰市,本科,,汉江师范学院,汉江师范学院
湖北文理学院,http://www.hbuas.edu.cn/,4142010519,10519,A519,湖北省,湖北,襄阳市,本科,,湖北文理学院,湖北文理学院
中南财经政法大学,http://bkzs.zuel.edu.cn/,4142010520,10520,A520,教育部,湖北,武汉市,本科,,中南财经政法大学,中南财经政法大学
武汉体育学院,https://zs.whsu.edu.cn/index.htm,4142010522,10522,A522,湖北省,湖北,武汉市,本科,,武汉体育学院,武汉体育学院
湖北美术学院,https://zjc.hifa.edu.cn/bkzs.htm,4142010523,10523,A523,湖北省,湖北,武汉市,本科,,湖北美术学院,
中南民族大学,https://zsb.scuec.edu.cn/,4142010524,10524,A524,国家民委,湖北,武汉市,本科,,中南民族大学,中南民族大学
湖北汽车工业学院,http://zs.huat.edu.cn,4142010525,10525,A525,湖北省,湖北,十堰市,本科,,湖北汽车工业学院,湖北汽车工业学院
湖北工程学院,zs.hbeu.cn,4142010528,10528,A528,湖北省,湖北,孝感市,本科,,湖北工程学院,湖北工程学院
武汉职业技术学院,https://zjc.wtc.edu.cn/zs/,4142010834,10834,,湖北省,湖北,武汉市,专科,,,
湖北理工学院,https://www.zhinengdayi.com/page/list/RAULOW/9911_10_1,4142010920,10920,A920,湖北省,湖北,黄石市,本科,,湖北理工学院,湖北理工学院
湖北科技学院,http://zsjy.hbust.edu.cn/zssy.htm,4142010927,10927,A927,湖北省,湖北,咸宁市,本科,,湖北科技学院,湖北科技学院
湖北医药学院,http://zs.hbmu.edu.cn/,4142010929,10929,A929,湖北省,湖北,十堰市,本科,,湖北医药学院,湖北医药学院
黄冈职业技术学院,http://www.hgpu.edu.cn/zsxxw/,4142010955,10955,,湖北省,湖北,黄冈市,专科,,,
长江职业学院,http://zsjy.cjxy.edu.cn/,4142010956,10956,,湖北省,湖北,武汉市,专科,,,
江汉大学,zjc.jhun.edu.cn,4142011072,11072,B072,湖北省,湖北,武汉市,本科,,江汉大学,江汉大学
荆州理工职业学院,http://www.jzlg.cn/zs/zc/12677.html,4142011074,11074,,湖北省,湖北,荆州市,专科,,,
三峡大学,http://zs.ctgu.edu.cn/,4142011075,11075,B075,湖北省,湖北,宜昌市,本科,,三峡大学,三峡大学
湖北警官学院,https://zsxx.hbpa.edu.cn/,4142011332,11332,B332,湖北省,湖北,武汉市,本科,,湖北警官学院,湖北警官学院
湖北工业职业技术学院,http://zb.hbgyzy.edu.cn/,4142011334,11334,,湖北省,湖北,十堰市,专科,,,
鄂州职业大学,http://www.ezu.cn/zb/info/1070/2279.htm,4142011335,11335,,湖北省,湖北,鄂州市,专科,,,
荆楚理工学院,http://zsxx.jcut.edu.cn/,4142011336,11336,B336,湖北省,湖北,荆门市,本科,,荆楚理工学院,荆楚理工学院
武汉音乐学院,zsks.whcm.edu.cn,4142011524,11524,,湖北省,湖北,武汉市,本科,,,
湖北经济学院,http://zs.hbue.edu.cn,4142011600,11600,B600,湖北省,湖北,武汉市,本科,,湖北经济学院,湖北经济学院
武汉商学院,https://zs.wbu.edu.cn/,4142011654,11654,B654,湖北省,湖北,武汉市,本科,,武汉商学院,武汉商学院
武汉城市职业学院,www.whcvc.edu.cn,4142011796,11796,,湖北省,湖北,武汉市,专科,,,
